Parameter	Description	Unit
fBodyBodyAccJerkMag-std()	The body acceleration signal obtained by subtracting the gravity from the total acceleration.	g
fBodyBodyAccJerkMag-meanFreq()	The body acceleration signal obtained by subtracting the gravity from the total acceleration.	g
fBodyBodyGyroMag-mean()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
fBodyBodyGyroMag-std()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
fBodyBodyGyroMag-meanFreq()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
fBodyBodyGyroJerkMag-mean()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
fBodyBodyGyroJerkMag-std()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
fBodyBodyGyroJerkMag-meanFreq()	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
angle(tBodyAccMean,gravity)	The body acceleration signal obtained by subtracting the gravity from the total acceleration.	g
angle(tBodyAccJerkMean),gravityMean)	The body acceleration signal obtained by subtracting the gravity from the total acceleration.	g
angle(tBodyGyroMean,gravityMean)	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
angle(tBodyGyroJerkMean,gravityMean)	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
angle(X,gravityMean)	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
angle(Y,gravityMean)	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
angle(Z,gravityMean)	The angular velocity vector measured by the gyroscope for each window sample.	radians/second
